campus,branch,marks,year
Pilani,B.E. Chemical,282,2014
Pilani,B.E. Civil,279,2014
Pilani,B.E. Mechanical,304,2014
Pilani,B.E. Computer Science,325,2014
Pilani,B.E. Electronics & Instrumentation,299,2014
Pilani,B.E. Manufacturing,269,2014
Pilani,B. Pharm,138,2014
Pilani,M.Sc. Biological Sciences,260,2014
Pilani,M.Sc. Chemistry,268,2014
Pilani,M.Sc. Economics,280,2014
Pilani,M.Sc. Mathematics,278,2014
Pilani,M.Sc. Physics,273,2014
Pilani,B.E. Electrical & Electronics,311,2014
Goa,B.E. Chemical,255,2014
Goa,B.E. Mechanical,270,2014
Goa,B.E. Electrical & Electronics,273,2014
Goa,B.E. Computer Science,293,2014
Goa,B.E. Electronics & Instrumentation,264,2014
Goa,M.Sc. Chemistry,249,2014
Goa,M.Sc. Biological Sciences,247,2014
Goa,M.Sc. Economics,256,2014
Goa,M.Sc. Mathematics,254,2014
Goa,M.Sc. Physics,254,2014
Hyderabad,B.E. Chemical,254,2014
Hyderabad,B.E. Civil,260,2014
Hyderabad,B.E. Electrical & Electronics,269,2014
Hyderabad,B.E. Mechanical,267,2014
Hyderabad,B.E. Computer Science,285,2014
Hyderabad,B.E. Electronics & Instrumentation,266,2014
Hyderabad,B.E. Electronics & Communication,274,2014
Hyderabad,B. Pharm,138,2014
Hyderabad,M.Sc. Biological Sciences,246,2014
Hyderabad,M.Sc. Chemistry,247,2014
Hyderabad,M.Sc. Economics,254,2014
Hyderabad,M.Sc. Mathematics,252,2014
Hyderabad,M.Sc. Physics,252,2014
