campus,branch,marks,year
Pilani,B.E. Chemical,267,2013
Pilani,B.E. Civil,267,2013
Pilani,B.E. Mechanical,292,2013
Pilani,B.E. Computer Science,306,2013
Pilani,B.E. Electronics & Instrumentation,287,2013
Pilani,B.E. Manufacturing,260,2013
Pilani,B. Pharm,230,2013
Pilani,M.Sc. Biological Sciences,246,2013
Pilani,M.Sc. Chemistry,255,2013
Pilani,M.Sc. Economics,267,2013
Pilani,M.Sc. Mathematics,263,2013
Pilani,M.Sc. Physics,262,2013
Pilani,B.E. Electrical & Electronics,297,2013
Goa,B.E. Chemical,241,2013
Goa,B.E. Mechanical,260,2013
Goa,B.E. Electrical & Electronics,264,2013
Goa,B.E. Computer Science,280,2013
Goa,B.E. Electronics & Instrumentation,252,2013
Goa,M.Sc. Chemistry,236,2013
Goa,M.Sc. Biological Sciences,232,2013
Goa,M.Sc. Economics,244,2013
Goa,M.Sc. Mathematics,241,2013
Goa,M.Sc. Physics,241,2013
Hyderabad,B.E. Chemical,242,2013
Hyderabad,B.E. Civil,251,2013
Hyderabad,B.E. Electrical & Electronics,260,2013
Hyderabad,B.E. Mechanical,259,2013
Hyderabad,B.E. Computer Science,273,2013
Hyderabad,B.E. Electronics & Instrumentation,255,2013
Hyderabad,B.E. Electronics & Communication,267,2013
Hyderabad,B. Pharm,235,2013
Hyderabad,M.Sc. Biological Sciences,230,2013
Hyderabad,M.Sc. Chemistry,235,2013
Hyderabad,M.Sc. Economics,244,2013
Hyderabad,M.Sc. Mathematics,239,2013
Hyderabad,M.Sc. Physics,239,2013
