campus,branch,marks,year
Pilani,B.E. Chemical,276,2016
Pilani,B.E. Civil,272,2016
Pilani,B.E. Mechanical,299,2016
Pilani,B.E. Computer Science,332,2016
Pilani,B.E. Electronics & Instrumentation,299,2016
Pilani,B.E. Manufacturing,269,2016
Pilani,B. Pharm,208,2016
Pilani,M.Sc. Biological Sciences,263,2016
Pilani,M.Sc. Chemistry,267,2016
Pilani,M.Sc. Economics,290,2016
Pilani,M.Sc. Mathematics,286,2016
Pilani,M.Sc. Physics,280,2016
Pilani,B.E. Electrical & Electronics,313,2016
Goa,B.E. Chemical,260,2016
Goa,B.E. Mechanical,279,2016
Goa,B.E. Electrical & Electronics,286,2016
Goa,B.E. Computer Science,310,2016
Goa,B.E. Electronics & Instrumentation,270,2016
Goa,M.Sc. Chemistry,260,2016
Goa,M.Sc. Biological Sciences,257,2016
Goa,M.Sc. Economics,273,2016
Goa,M.Sc. Mathematics,268,2016
Goa,M.Sc. Physics,266,2016
Hyderabad,B.E. Chemical,258,2016
Hyderabad,B.E. Civil,262,2016
Hyderabad,B.E. Electrical & Electronics,280,2016
Hyderabad,B.E. Mechanical,273,2016
Hyderabad,B.E. Computer Science,300,2016
Hyderabad,B.E. Electronics & Instrumentation,271,2016
Hyderabad,B.E. Electronics & Communication,287,2016
Hyderabad,B. Pharm,194,2016
Hyderabad,M.Sc. Biological Sciences,256,2016
Hyderabad,M.Sc. Chemistry,259,2016
Hyderabad,M.Sc. Economics,268,2016
Hyderabad,M.Sc. Mathematics,266,2016
Hyderabad,M.Sc. Physics,263,2016
